0,0,0
0,1,0
1,1,1
1,1,0
0,2,1
1,2,1
2,2,1
2,2,0
2,0,1
3,1,1
3,0,1
4,0,0
5,0,1
3,2,0
4,2,0
5,1,1
7,0,1
7,1,0
8,0,1
9,0,1
10,0,1
11,0,1
12,0,0
12,1,0
12,1,1
11,1,1
10,1,1
9,1,1
8,2,0
7,2,0
6,1,1
6,2,0
7,3,0
7,4,0
6,3,0
7,4,1
3,3,0
3,4,0
6,3,1
4,3,0
5,4,0
5,3,0
4,4,1
4,5,0
5,5,0
5,6,0
5,7,0
5,7,1
4,6,0
3,4,1
4,8,0
4,6,1
3,6,0
2,5,0
2,6,0
2,6,1
1,6,0
1,5,0
1,4,0
2,3,1
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
3,7,1
2,7,1
1,8,0
1,9,0
1,9,1
0,10,1
3,8,0
3,9,0
3,8,1
2,9,0
1,10,0
4,9,0
4,10,0
4,10,1
3,10,1
2,10,0
6,5,1
7,5,1
7,6,0
8,3,1
9,3,1
10,3,1
8,5,0
9,2,1
10,2,1
10,4,0
8,4,1
9,4,1
10,4,1
11,2,1
11,3,0
11,4,0
0,11,0
0,12,0
0,13,0
0,14,0
1,11,0
1,12,0
1,13,1
2,11,0
2,12,0
2,13,1
2,14,0
3,15,1
3,16,0
1,15,0
1,15,1
0,16,1
1,16,1
2,15,1
1,17,0
2,17,0
2,18,0
2,19,0
1,18,0
1,18,1
0,18,0
3,13,0
3,12,0
3,14,1
4,13,1
4,14,0
3,16,0
3,17,0
3,18,0
5,14,1
5,15,1
4,16,0
4,17,0
4,18,0
4,19,0
4,11,0
4,12,0
5,12,1
6,12,1
6,12,0
6,11,0
6,10,0
6,9,0
6,8,0
6,7,0
5,8,0
5,9,0
5,10,0
5,11,0
8,6,0
6,15,1
7,15,1
8,15,1
9,15,1
10,15,1
11,15,1
6,14,1
7,14,1
8,14,1
9,14,1
8,7,0
8,8,0
8,9,0
8,9,1
7,9,1
7,7,0
7,8,0
5,13,0
7,13,1
7,12,1
7,12,0
7,11,0
8,13,1
8,11,0
8,12,0
9,13,0
9,14,0
8,10,0
10,12,1
9,11,1
9,11,0
9,10,0
9,9,0
9,8,0
9,7,0
9,6,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
11,5,1
12,2,0
12,3,0
12,4,0
11,6,0
10,13,0
10,14,0
10,15,0
12,6,1
12,5,1
13,5,0
13,6,0
13,6,1
13,0,1
14,0,0
15,0,1
13,2,0
13,3,0
13,4,0
14,1,1
14,2,0
16,0,1
16,1,1
15,2,0
17,0,1
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
14,3,1
18,0,1
18,1,0
17,1,1
16,2,1
17,2,1
18,2,1
18,2,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
15,9,0
16,8,1
17,8,1
18,8,1
19,8,1
17,7,1
18,7,1
18,7,0
19,6,1
16,4,0
16,5,0
16,6,0
17,3,0
17,3,1
17,6,1
18,6,0
18,5,1
17,5,0
18,4,1
18,4,0
14,9,0
15,10,0
11,10,1
12,10,1
13,10,1
14,10,1
15,10,1
12,9,1
13,9,1
14,9,1
11,8,0
11,9,0
12,7,1
12,8,0
13,7,0
13,8,0
11,12,0
12,11,1
13,11,1
14,11,1
15,11,1
15,12,0
11,13,0
12,13,1
12,13,0
11,14,1
12,14,1
13,14,1
13,14,0
13,13,0
17,9,1
18,9,1
18,10,0
16,10,0
19,11,1
18,11,1
17,11,0
17,10,1
16,12,0
14,12,0
14,13,0
14,15,0
14,15,1
13,15,1
12,16,0
15,13,1
16,12,1
17,12,0
16,13,1
17,13,1
18,13,1
18,13,0
19,14,1
18,15,1
19,16,1
18,17,1
19,18,1
17,14,0
17,15,0
17,16,0
17,17,0
17,18,0
17,19,0
15,14,1
16,14,1
16,15,0
17,16,1
16,16,1
15,16,0
14,17,0
12,16,0
12,17,0
12,18,0
12,19,0
13,16,0
15,17,1
14,17,1
13,18,0
14,18,1
16,17,0
16,18,0
16,18,1
6,16,1
7,16,1
8,16,1
9,16,1
10,16,1
11,16,1
12,16,1
5,17,0
5,18,0
6,19,0
6,18,0
7,17,1
8,17,1
9,17,1
10,17,1
11,17,1
11,18,0
10,19,0
8,18,1
9,18,1
10,18,1
15,18,1
